,Gamma,Error,Time,Iterations
643,0.357,16,0.0,2
644,0.356,16,0.0,2
645,0.355,16,0.000997781753540039,2
646,0.354,16,0.0,2
647,0.353,16,0.000997304916381836,2
648,0.352,16,0.0,2
649,0.351,16,0.0,2
650,0.35,16,0.0009970664978027344,2
651,0.349,16,0.0,2
652,0.348,16,0.0,2
653,0.347,16,0.0,2
654,0.346,16,0.0,2
655,0.345,16,0.0009975433349609375,2
656,0.344,16,0.0,2
657,0.34299999999999997,16,0.0,2
658,0.34199999999999997,16,0.0009970664978027344,2
659,0.34099999999999997,16,0.0,2
660,0.33999999999999997,16,0.0009984970092773438,2
661,0.33899999999999997,16,0.0010039806365966797,2
662,0.33799999999999997,16,0.0,2
663,0.33699999999999997,16,0.0,2
664,0.33599999999999997,16,0.000989675521850586,2
665,0.33499999999999996,16,0.0,2
666,0.33399999999999996,16,0.0,2
667,0.33299999999999996,16,0.0,2
668,0.33199999999999996,16,0.0,2
669,0.33099999999999996,16,0.000997304916381836,2
670,0.32999999999999996,16,0.0,2
671,0.32899999999999996,16,0.0,2
672,0.32799999999999996,16,0.000997304916381836,2
673,0.32699999999999996,16,0.0,2
674,0.32599999999999996,16,0.0,2
675,0.32499999999999996,16,0.0,2
676,0.32399999999999995,16,0.0,2
677,0.32299999999999995,16,0.0009970664978027344,2
678,0.32199999999999995,16,0.0,2
679,0.32099999999999995,16,0.0,2
680,0.31999999999999995,16,0.0009975433349609375,2
681,0.31899999999999995,16,0.0,2
682,0.31799999999999995,16,0.000997304916381836,2
683,0.31699999999999995,16,0.0,2
684,0.31599999999999995,16,0.0,2
685,0.31499999999999995,16,0.000997304916381836,2
686,0.31399999999999995,16,0.0,2
687,0.31299999999999994,16,0.0,2
688,0.31199999999999994,16,0.0,2
689,0.31100000000000005,16,0.0,2
690,0.31000000000000005,16,0.000997781753540039,2
691,0.30900000000000005,16,0.0,2
692,0.30800000000000005,16,0.0,2
693,0.30700000000000005,16,0.0009968280792236328,2
694,0.30600000000000005,16,0.0,2
695,0.30500000000000005,16,0.0,2
696,0.30400000000000005,16,0.000997304916381836,2
697,0.30300000000000005,16,0.0,2
698,0.30200000000000005,16,0.0,2
699,0.30100000000000005,16,0.0,2
700,0.30000000000000004,16,0.0,2
701,0.29900000000000004,16,0.000997304916381836,2
702,0.29800000000000004,16,0.0,2
703,0.29700000000000004,16,0.0009975433349609375,2
704,0.29600000000000004,16,0.0,2
705,0.29500000000000004,16,0.0,2
706,0.29400000000000004,16,0.0009970664978027344,2
707,0.29300000000000004,16,0.0,2
708,0.29200000000000004,16,0.0,2
709,0.29100000000000004,16,0.0009975433349609375,2
710,0.29000000000000004,16,0.0,2
